,index,name,page_image,title,page_link,cluster_name,cluster_proba
2433,2433,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/4/thumbnail_202x120_2c0c1ee0-16c9-405c-a409-260f169288a9.jpg,4화,https://comic.naver.com/webtoon/detail?titleId=762781&no=4&weekday=thu,1,0.73910815
2434,2434,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/5/thumbnail_202x120_ea204205-e75c-4d8f-93f3-e426b1a9eae4.jpg,5화,https://comic.naver.com/webtoon/detail?titleId=762781&no=5&weekday=thu,1,0.99970967
2435,2435,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/6/thumbnail_202x120_4b0c86b4-9ffb-4bd8-b12e-d3c075a99e89.jpg,6화,https://comic.naver.com/webtoon/detail?titleId=762781&no=6&weekday=thu,1,0.9999304
2436,2436,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/7/thumbnail_202x120_75d83fe2-ea4d-4502-99d0-ac9eb4c40dcc.jpg,7화,https://comic.naver.com/webtoon/detail?titleId=762781&no=7&weekday=thu,1,1.0
2437,2437,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/8/thumbnail_202x120_796929d8-c5a8-451c-b87d-8204571cb722.jpg,8화,https://comic.naver.com/webtoon/detail?titleId=762781&no=8&weekday=thu,6,1.0
2438,2438,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/9/thumbnail_202x120_49a076a3-8826-42f5-b458-3b3ce035a523.jpg,9화,https://comic.naver.com/webtoon/detail?titleId=762781&no=9&weekday=thu,1,0.9999999
2439,2439,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/10/thumbnail_202x120_8eb013be-dbbe-48b1-bf66-7046c88e5074.jpg,10화,https://comic.naver.com/webtoon/detail?titleId=762781&no=10&weekday=thu,18,0.99951637
2440,2440,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/1/thumbnail_202x120_71bed38c-7596-4763-af4b-c895d770515e.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=762786&no=1&weekday=wed,19,0.99999774
2441,2441,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/2/thumbnail_202x120_313f2a35-008c-4f7c-aaa6-7ab3b3991eee.jpg,2화,https://comic.naver.com/webtoon/detail?titleId=762786&no=2&weekday=wed,2,1.0
2442,2442,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/3/thumbnail_202x120_17b83c2a-6041-4453-97cd-60371940f9de.jpg,3화,https://comic.naver.com/webtoon/detail?titleId=762786&no=3&weekday=wed,15,0.59881026
